,tconst,averageRating,numVotes
450202,tt10102328,6.4,71
450203,tt10102350,3.7,654
450211,tt10102402,6.4,178
450212,tt10102408,4.1,12
450221,tt1010248,5.8,103
450223,tt10102490,4.6,22
450264,tt10103028,4.8,680
450343,tt10104502,6.4,261
450415,tt10105438,6.3,26
450438,tt10105850,6.2,48
450446,tt10106082,7.3,45
450455,tt10106394,8.4,13
450456,tt10106416,9.6,9
450480,tt10106734,7.4,7
450481,tt10106812,7.9,133
450482,tt10106822,8.3,75
450484,tt10106848,7.6,54
450495,tt10107012,7.5,13
450509,tt10107208,7.2,5
450511,tt10107222,6.6,1036
450518,tt10107410,6.9,11
450520,tt10107482,2.1,29
450525,tt10107594,8.1,14
450534,tt10107868,9.0,30
450541,tt10108256,7.0,15
450543,tt10108358,6.5,28
450545,tt10108544,5.6,845
450548,tt10108708,8.2,15
450550,tt10109262,6.7,208
450560,tt10109750,2.9,559
450561,tt10109752,3.2,17
450573,tt10109932,7.7,7
450576,tt10109980,7.7,21
450578,tt10110022,4.7,69
450588,tt10110180,5.9,135
450601,tt10110476,7.7,20
450604,tt10110614,6.8,4538
450621,tt10110872,1.5,158
450622,tt10110912,4.0,55
450634,tt10111180,7.9,162
450635,tt10111182,7.8,39
450637,tt10111198,7.2,17
450638,tt10111222,5.6,8
450642,tt10111404,5.6,83
450645,tt10111440,6.5,48
450648,tt10111568,7.1,232
450649,tt10111576,7.4,6
450650,tt10111580,4.8,16
450653,tt10111746,6.8,201
450665,tt10111920,6.8,43
450668,tt10112020,6.4,13
450669,tt10112034,7.2,9
450678,tt10112154,9.1,63
450685,tt10112336,8.2,5
450691,tt10112464,5.2,43
450692,tt10112466,4.6,136
450735,tt10114190,8.1,11
450771,tt10115316,7.4,68
450785,tt10115436,7.8,184
450793,tt10115562,6.0,2116
450794,tt10115638,6.0,248
450796,tt10115644,5.0,68
450806,tt10115840,6.7,9
450816,tt10116022,5.3,126
450828,tt10116478,7.3,54
450829,tt10116488,6.5,94
450853,tt10116938,4.1,27
450863,tt10117046,7.1,32
450873,tt10117174,8.4,10
450888,tt10117402,6.3,452
450905,tt10117520,9.2,7
450911,tt10117768,6.8,1165
450930,tt10118064,5.4,125
450936,tt10118134,5.0,27
451013,tt10120830,7.1,9
451027,tt10121022,8.5,11
451029,tt10121110,6.1,15
451050,tt10121372,8.2,1261
451053,tt10121392,4.5,43022
451060,tt10121508,6.4,808
451068,tt10121762,7.0,918
451082,tt10121894,6.0,31
451090,tt10122038,7.3,195
451091,tt10122042,8.5,52
451100,tt10122334,6.3,6
451102,tt10122392,7.0,777
451107,tt10122486,7.6,67
451109,tt10122504,3.5,116
451110,tt10122528,7.3,7
451114,tt10122618,6.6,107
451125,tt10122846,6.3,66
451128,tt10122930,8.5,22
451136,tt10123698,6.4,820
451140,tt10123970,3.5,1504
451143,tt10124442,6.3,8
451151,tt10124714,6.7,260
451165,tt10125574,7.2,7
451172,tt10125662,2.8,904
451177,tt10125774,6.5,13
451180,tt10125830,7.1,68
451186,tt10125972,5.2,308
451190,tt10125986,3.7,171
451197,tt10126040,5.6,483
451209,tt10126136,4.0,4273
451219,tt10126368,4.5,137
451221,tt10126434,5.7,4390
451233,tt10126628,5.0,25
451240,tt10126780,7.1,58
